,Train,valid,Test
1,"[6, 41, 45, 36, 34, 10, 40, 43, 38, 20, 48, 11, 16, 5, 14, 26, 30, 32, 13, 8, 31, 39, 22, 24, 7, 23, 9, 37, 3, 44, 18, 4, 25, 12, 2, 42, 50, 35, 17]","[33, 28, 21, 29, 46, 15, 47, 19, 27, 49]",[1]
2,"[30, 38, 49, 27, 37, 20, 24, 22, 26, 40, 45, 18, 44, 7, 32, 33, 39, 46, 34, 13, 3, 16, 21, 9, 47, 35, 41, 31, 11, 15, 12, 23, 2, 4, 50, 19, 29, 25, 28]","[43, 5, 6, 10, 8, 17, 14, 48, 36, 42]",[1]
3,"[33, 12, 30, 16, 14, 38, 40, 39, 25, 9, 28, 21, 3, 5, 10, 49, 27, 8, 42, 15, 36, 43, 46, 50, 19, 23, 44, 13, 4, 29, 37, 6, 48, 24, 41, 17, 22, 47, 20]","[18, 31, 2, 32, 34, 7, 26, 11, 35, 45]",[1]
4,"[33, 19, 21, 17, 40, 5, 10, 36, 2, 8, 16, 44, 48, 46, 31, 29, 9, 34, 28, 50, 18, 43, 27, 11, 42, 45, 30, 32, 15, 24, 22, 14, 6, 7, 35, 20, 26, 47, 49]","[13, 4, 23, 25, 38, 39, 41, 12, 3, 37]",[1]
5,"[37, 43, 27, 8, 4, 25, 13, 21, 48, 31, 39, 46, 19, 38, 41, 23, 29, 45, 15, 14, 2, 49, 11, 32, 6, 5, 47, 17, 28, 7, 36, 26, 3, 12, 33, 34, 10, 42, 18, 35]","[22, 40, 30, 50, 24, 20, 9, 16, 44]",[1]
1,"[24, 39, 37, 5, 9, 22, 16, 7, 6, 13, 12, 3, 17, 31, 38, 10, 25, 1, 40, 48, 30, 42, 18, 11, 32, 8, 34, 35, 43, 50, 23, 45, 41, 20, 44, 26, 14, 36, 4]","[33, 47, 21, 27, 15, 46, 28, 19, 49, 29]",[2]
2,"[26, 33, 4, 46, 40, 23, 24, 12, 50, 34, 22, 31, 1, 45, 11, 28, 3, 18, 19, 39, 9, 44, 13, 25, 15, 29, 16, 37, 30, 38, 49, 20, 32, 41, 7, 27, 21, 47, 35]","[6, 14, 8, 42, 43, 5, 36, 17, 48, 10]",[2]
3,"[16, 49, 30, 27, 41, 6, 24, 46, 37, 17, 40, 10, 5, 22, 14, 15, 28, 29, 13, 44, 9, 25, 21, 12, 48, 23, 8, 3, 20, 19, 50, 39, 42, 38, 33, 36, 4, 47, 43]","[18, 32, 45, 11, 34, 26, 35, 7, 31, 1]",[2]
4,"[18, 49, 40, 5, 44, 42, 45, 36, 22, 6, 43, 16, 48, 26, 30, 29, 14, 17, 8, 10, 28, 24, 11, 1, 32, 9, 15, 33, 21, 31, 34, 19, 35, 46, 7, 47, 50, 20, 27]","[13, 4, 37, 25, 12, 39, 41, 23, 3, 38]",[2]
5,"[12, 29, 49, 28, 32, 8, 39, 42, 38, 35, 27, 25, 31, 15, 23, 5, 14, 18, 13, 45, 41, 43, 48, 3, 21, 46, 4, 26, 7, 33, 1, 47, 36, 17, 10, 37, 34, 6, 19, 11]","[50, 24, 22, 9, 30, 16, 44, 40, 20]",[2]
1,"[5, 35, 40, 7, 24, 25, 14, 26, 10, 2, 11, 18, 39, 34, 30, 32, 20, 16, 6, 42, 12, 37, 43, 1, 4, 50, 17, 41, 38, 44, 22, 36, 48, 8, 45, 23, 31, 13, 9]","[33, 28, 47, 21, 49, 46, 15, 29, 19, 27]",[3]
2,"[47, 26, 15, 28, 23, 19, 39, 44, 7, 49, 41, 32, 16, 45, 18, 4, 40, 20, 30, 24, 33, 11, 13, 2, 38, 25, 35, 31, 1, 37, 21, 29, 34, 50, 12, 27, 46, 22, 9]","[36, 6, 8, 42, 43, 48, 14, 17, 10, 5]",[3]
3,"[29, 43, 9, 47, 28, 13, 36, 22, 42, 17, 37, 33, 15, 49, 6, 8, 30, 27, 4, 20, 2, 39, 10, 41, 12, 44, 16, 14, 38, 48, 23, 25, 46, 50, 5, 19, 40, 21, 24]","[18, 35, 32, 11, 45, 1, 34, 7, 31, 26]",[3]
4,"[30, 36, 50, 7, 33, 43, 44, 6, 21, 20, 27, 16, 15, 18, 5, 10, 45, 48, 32, 28, 24, 26, 17, 47, 49, 1, 8, 46, 9, 34, 11, 35, 31, 14, 29, 42, 19, 40, 22]","[37, 4, 39, 12, 13, 2, 41, 38, 23, 25]",[3]
5,"[14, 6, 21, 13, 32, 45, 34, 17, 18, 12, 46, 2, 41, 38, 19, 29, 11, 42, 27, 47, 36, 10, 33, 39, 15, 7, 8, 26, 1, 35, 37, 48, 28, 43, 25, 23, 5, 4, 49, 31]","[30, 9, 50, 40, 44, 22, 20, 16, 24]",[3]
1,"[43, 42, 23, 8, 26, 11, 20, 12, 34, 5, 38, 36, 35, 32, 10, 31, 7, 13, 6, 40, 25, 45, 48, 50, 30, 39, 2, 44, 17, 41, 1, 18, 14, 24, 3, 22, 9, 37, 16]","[46, 15, 28, 47, 29, 19, 33, 27, 49, 21]",[4]
2,"[32, 23, 46, 19, 21, 49, 37, 16, 39, 12, 29, 15, 38, 22, 1, 33, 45, 7, 11, 3, 27, 41, 9, 26, 30, 34, 50, 20, 44, 35, 13, 40, 25, 47, 28, 2, 31, 24, 18]","[5, 6, 36, 10, 48, 17, 8, 14, 43, 42]",[4]
3,"[40, 12, 43, 24, 47, 9, 5, 14, 6, 2, 19, 46, 42, 25, 13, 21, 33, 38, 39, 29, 20, 17, 3, 8, 36, 15, 28, 37, 16, 10, 44, 41, 22, 23, 50, 30, 49, 48, 27]","[35, 11, 34, 18, 32, 26, 7, 31, 1, 45]",[4]
4,"[44, 28, 27, 46, 36, 47, 21, 34, 1, 22, 26, 10, 33, 14, 50, 11, 16, 7, 18, 6, 29, 17, 49, 5, 42, 20, 9, 32, 35, 8, 30, 48, 15, 45, 31, 19, 43, 24, 40]","[12, 39, 23, 37, 13, 25, 41, 3, 2, 38]",[4]
5,"[18, 17, 46, 32, 27, 49, 21, 28, 11, 37, 38, 23, 15, 8, 45, 19, 25, 26, 10, 13, 36, 29, 39, 7, 5, 41, 43, 14, 42, 47, 48, 1, 6, 31, 2, 33, 3, 34, 12, 35]","[20, 24, 50, 30, 16, 44, 40, 9, 22]",[4]
1,"[9, 1, 6, 10, 45, 32, 42, 11, 16, 36, 50, 2, 35, 44, 40, 24, 39, 41, 37, 43, 14, 25, 23, 31, 12, 20, 8, 17, 3, 4, 38, 22, 18, 48, 26, 30, 34, 13, 7]","[19, 15, 49, 33, 21, 29, 47, 28, 46, 27]",[5]
2,"[13, 31, 34, 28, 26, 50, 38, 7, 19, 47, 27, 9, 20, 1, 40, 24, 12, 18, 33, 29, 32, 49, 15, 45, 22, 39, 3, 35, 37, 25, 44, 16, 41, 2, 23, 11, 21, 46, 30]","[42, 48, 8, 10, 17, 6, 4, 14, 43, 36]",[5]
3,"[36, 21, 28, 10, 39, 38, 20, 17, 9, 6, 13, 15, 22, 29, 40, 49, 30, 50, 46, 25, 44, 37, 16, 24, 47, 8, 42, 19, 14, 27, 43, 3, 2, 12, 48, 33, 23, 41, 4]","[7, 34, 26, 11, 45, 31, 35, 1, 18, 32]",[5]
4,"[15, 1, 19, 17, 6, 50, 24, 42, 49, 22, 44, 35, 46, 18, 36, 7, 40, 8, 4, 14, 33, 16, 47, 11, 28, 34, 48, 26, 20, 21, 9, 43, 29, 27, 10, 31, 30, 32, 45]","[25, 41, 38, 12, 13, 39, 37, 2, 3, 23]",[5]
5,"[39, 46, 8, 23, 36, 25, 37, 28, 45, 2, 18, 11, 15, 33, 38, 29, 1, 27, 43, 6, 12, 4, 47, 13, 10, 19, 48, 42, 49, 21, 7, 41, 3, 26, 17, 14, 35, 34, 32, 31]","[24, 16, 44, 20, 30, 22, 9, 40, 50]",[5]
1,"[44, 3, 25, 11, 22, 17, 37, 39, 9, 42, 40, 35, 8, 36, 1, 14, 43, 48, 50, 32, 20, 23, 38, 2, 30, 5, 31, 4, 10, 16, 12, 24, 45, 41, 18, 34, 13, 7, 26]","[21, 47, 29, 28, 27, 49, 19, 46, 15, 33]",[6]
2,"[30, 50, 47, 20, 46, 24, 45, 35, 13, 3, 11, 9, 15, 27, 34, 28, 25, 29, 2, 33, 7, 32, 12, 39, 23, 31, 19, 16, 18, 22, 37, 1, 44, 38, 40, 21, 49, 41, 26]","[10, 17, 42, 36, 5, 8, 14, 43, 48, 4]",[6]
3,"[13, 20, 42, 16, 30, 17, 22, 10, 36, 21, 50, 27, 15, 46, 4, 28, 43, 40, 9, 24, 14, 41, 12, 37, 49, 8, 44, 5, 33, 25, 3, 48, 39, 2, 19, 47, 23, 38, 29]","[26, 32, 18, 45, 31, 7, 34, 1, 35, 11]",[6]
4,"[29, 40, 22, 43, 24, 33, 9, 31, 10, 4, 1, 45, 11, 48, 30, 44, 16, 19, 20, 49, 27, 17, 14, 50, 34, 26, 7, 35, 36, 8, 21, 42, 18, 47, 32, 46, 5, 28, 15]","[25, 2, 39, 13, 37, 38, 41, 23, 3, 12]",[6]
5,"[13, 36, 46, 47, 33, 38, 19, 11, 34, 32, 42, 45, 35, 18, 12, 27, 41, 10, 28, 23, 49, 7, 3, 17, 37, 2, 21, 39, 25, 29, 31, 14, 4, 48, 8, 5, 15, 26, 1, 43]","[20, 40, 16, 44, 24, 22, 9, 30, 50]",[6]
1,"[22, 25, 4, 1, 30, 37, 31, 16, 36, 32, 13, 9, 50, 34, 38, 42, 14, 3, 24, 2, 35, 26, 5, 39, 6, 44, 43, 41, 40, 10, 23, 20, 17, 45, 8, 48, 12, 11, 18]","[21, 49, 28, 29, 33, 47, 19, 27, 15, 46]",[7]
